"Table 2a: Estimated population of settlements by broad age groups, mid-2012",,,,,,,,
,,,,,,,,
Settlement Name,Settlement Code,All Ages,Age Group,,,,,
,,,Under 16,16 to 64,65 & Over,,,
Gatehouse of Fleet,S20000718, 950 , 126 , 517 , 307 ,,,
Gauldry,S20000719, 660 , 97 , 375 , 188 ,,,
Gifford,S20000720, 780 , 149 , 462 , 169 ,,,
Girvan,S20000721," 6,650 "," 1,153 "," 3,921 "," 1,576 ",,,
Glassford,S20000722, 640 , 137 , 409 , 94 ,,,
Glenboig,S20000723," 2,780 ", 615 ," 1,813 ", 352 ,,,
Glenfarg,S20000724, 770 , 136 , 512 , 122 ,,,
Glenluce,S20000725, 600 , 96 , 338 , 166 ,,,
Glenmavis,S20000726," 2,290 ", 423 ," 1,539 ", 328 ,,,
Glenrothes,S20000727," 47,730 "," 8,798 "," 30,491 "," 8,441 ",,,
Golspie,S20000728," 1,410 ", 230 , 858 , 322 ,,,
Gorebridge,S20000729," 6,330 "," 1,373 "," 4,036 ", 921 ,,,
Gourdon,S20000730, 750 , 131 , 492 , 127 ,,,
Grantown-on-Spey,S20000731," 2,440 ", 425 ," 1,421 ", 594 ,,,
Greater Glasgow,S20000732," 976,970 "," 164,800 "," 659,545 "," 152,625 ",,,
Greenlaw,S20000733, 640 , 102 , 405 , 133 ,,,
Greenock,S20000734," 69,450 "," 11,243 "," 44,989 "," 13,218 ",,,
Gretna,S20000735," 3,040 ", 479 ," 1,789 ", 772 ,,,
Gullane,S20000736," 2,570 ", 464 ," 1,336 ", 770 ,,,
Haddington,S20000737," 9,020 "," 1,640 "," 5,565 "," 1,815 ",,,
Halkirk,S20000738," 1,020 ", 149 , 634 , 237 ,,,
Hallglen,S20000739," 3,200 ", 661 ," 2,148 ", 391 ,,,
Hamilton,S20000740," 82,310 "," 14,493 "," 53,932 "," 13,885 ",,,
Harthill,S20000741," 3,710 ", 679 ," 2,395 ", 636 ,,,
Hatton of Cruden,S20000742, 890 , 154 , 608 , 128 ,,,
Hawick,S20000743," 14,050 "," 2,296 "," 8,580 "," 3,174 ",,,
Helensburgh,S20000744," 15,590 "," 2,922 "," 9,262 "," 3,406 ",,,
High Valleyfield,S20000745," 3,280 ", 608 ," 2,055 ", 617 ,,,
Hillhead,S20000746, 630 , 124 , 410 , 96 ,,,
Hillside,S20000747," 1,170 ", 244 , 678 , 248 ,,,
Hopeman,S20000748," 1,710 ", 338 ," 1,030 ", 342 ,,,
Houston,S20000749," 6,420 "," 1,241 "," 4,207 ", 972 ,,,
Howwood,S20000750," 1,580 ", 314 ," 1,027 ", 239 ,,,
Huntly,S20000751," 4,720 ", 729 ," 2,816 "," 1,175 ",,,
Inchture,S20000752," 1,220 ", 261 , 787 , 172 ,,,
Innellan,S20000753, 980 , 112 , 527 , 341 ,,,
Innerleithen,S20000754," 3,040 ", 527 ," 1,800 ", 713 ,,,
Insch,S20000755," 2,320 ", 420 ," 1,450 ", 450 ,,,
Inverallochy and Cairnbulg,S20000756," 1,340 ", 240 , 835 , 265 ,,,
Inveraray,S20000757, 570 , 90 , 368 , 112 ,,,
Inverbervie,S20000758," 2,310 ", 437 ," 1,477 ", 396 ,,,
Invergordon,S20000759," 4,130 ", 830 ," 2,496 ", 804 ,,,
Inverkip,S20000760," 3,060 ", 614 ," 2,030 ", 416 ,,,
Inverness,S20000761," 46,870 "," 8,281 "," 30,683 "," 7,906 ",,,
Inverurie,S20000762," 12,760 "," 2,131 "," 8,307 "," 2,322 ",,,
Irvine,S20000763," 37,380 "," 6,881 "," 24,108 "," 6,391 ",,,
Jedburgh,S20000764," 3,980 ", 645 ," 2,420 ", 915 ,,,
Johnshaven,S20000765, 670 , 119 , 442 , 109 ,,,
Keith,S20000766," 4,740 ", 772 ," 2,848 "," 1,120 ",,,
Kelso and Maxwellheugh,S20000767," 6,760 "," 1,009 "," 3,952 "," 1,799 ",,,
Kelty,S20000768," 6,590 "," 1,266 "," 4,192 "," 1,132 ",,,
Kemnay,S20000769," 3,830 ", 759 ," 2,454 ", 617 ,,,
Kilbirnie,S20000770," 7,520 "," 1,375 "," 4,821 "," 1,324 ",,,
Kilcreggan,S20000771," 1,290 ", 188 , 783 , 319 ,,,
Killearn,S20000772," 1,670 ", 328 , 971 , 371 ,,,
Killin,S20000773, 720 , 81 , 464 , 175 ,,,
Kilmacolm,S20000774," 3,980 ", 732 ," 2,316 ", 932 ,,,
Kilmarnock,S20000775," 51,150 "," 9,285 "," 33,038 "," 8,827 ",,,
Kilmaurs,S20000776," 2,800 ", 458 ," 1,802 ", 540 ,,,
Kilsyth,S20000777," 9,860 "," 1,769 "," 6,261 "," 1,830 ",,,
Kilwinning,S20000778," 16,420 "," 3,067 "," 10,624 "," 2,729 ",,,
Kincardine,S20000779," 2,810 ", 401 ," 1,782 ", 627 ,,,
Kinghorn,S20000780," 2,870 ", 473 ," 1,759 ", 638 ,,,
Kinglassie,S20000781," 1,820 ", 362 ," 1,194 ", 264 ,,,
Kingseat (Aberdeenshire),S20000782, 750 , 167 , 511 , 72 ,,,
Kingseat (Fife),S20000783, 770 , 122 , 460 , 188 ,,,
Kingskettle,S20000784," 1,010 ", 162 , 666 , 182 ,,,
Kingswells,S20000785," 4,750 "," 1,166 "," 3,058 ", 526 ,,,
Kingussie,S20000786," 1,450 ", 232 , 893 , 325 ,,,
Kinlochleven,S20000787, 900 , 139 , 561 , 200 ,,,
Kinloss,S20000788," 1,250 ", 379 , 809 , 62 ,,,
Kinnesswood,S20000789, 500 , 64 , 324 , 112 ,,,
Kinross,S20000790," 4,910 ", 872 ," 3,043 ", 995 ,,,
Kintore,S20000791," 4,680 "," 1,154 "," 2,946 ", 580 ,,,
Kippen,S20000792," 1,110 ", 235 , 658 , 217 ,,,
