Table 1a: All settlements by locality and Council area (sorted alphabetically by settlement),,,,,,
,,,,,,
"Settlement name1, 2",Settlement code,Locality name1,Locality code,Council area name,Council area code,
Dalgety Bay,S20000640,Dalgety Bay,S19000806,Fife,S12000015,
"Dalkeith, Settlement of",S20000641,Bonnyrigg,S19000710,Midlothian,S12000019,
"Dalkeith, Settlement of",S20000641,Dalkeith,S19000807,Midlothian,S12000019,
"Dalkeith, Settlement of",S20000641,Mayfield,S19001052,Midlothian,S12000019,
Dalmellington,S20000642,Dalmellington,S19000808,East Ayrshire,S12000008,
Dalry,S20000643,Dalry,S19000809,North Ayrshire,S12000021,
Dalrymple,S20000644,Dalrymple,S19000810,East Ayrshire,S12000008,
Danderhall,S20000645,Danderhall,S19000811,Midlothian,S12000019,
Darvel,S20000646,Darvel,S19000812,East Ayrshire,S12000008,
Dechmont,S20000647,Dechmont,S19000813,West Lothian,S12000040,
Denholm,S20000648,Denholm,S19000814,Scottish Borders,S12000026,
Dingwall,S20000649,Dingwall,S19000817,Highland,S12000017,
Dollar,S20000650,Dollar,S19000818,Clackmannanshire,S12000005,
Dornoch,S20000651,Dornoch,S19000819,Highland,S12000017,
Douglas,S20000652,Douglas,S19000820,South Lanarkshire,S12000029,
Doune,S20000653,Doune,S19000821,Stirling,S12000030,
Drongan,S20000654,Drongan,S19000823,East Ayrshire,S12000008,
Drumnadrochit,S20000655,Drumnadrochit,S19000824,Highland,S12000017,
Drumoak,S20000656,Drumoak,S19000825,Aberdeenshire,S12000034,
Drymen,S20000657,Drymen,S19000826,Stirling,S12000030,
Dufftown,S20000658,Dufftown,S19000827,Moray,S12000020,
Dullatur,S20000659,Dullatur,S19000828,North Lanarkshire,S12000044,
"Dumbarton, Settlement of",S20000660,Dumbarton,S19000829,West Dunbartonshire,S12000039,
"Dumbarton, Settlement of",S20000660,Milton,S19001062,West Dunbartonshire,S12000039,
Dumfries,S20000661,Dumfries,S19000830,Dumfries & Galloway,S12000006,
Dunbar,S20000662,Dunbar,S19000831,East Lothian,S12000010,
Dunbeg,S20000663,Dunbeg,S19000832,Argyll & Bute,S12000035,
Dunblane,S20000664,Dunblane,S19000833,Stirling,S12000030,
"Dundee, Settlement of (part)",S20000665,Dundee (part),S19000834,Angus,S12000041,
"Dundee, Settlement of (part)",S20000665,Monifieth,S19001069,Angus,S12000041,
"Dundee, Settlement of (part)",S20000665,Dundee (part),S19000834,Dundee City,S12000042,
"Dundee, Settlement of (part)",S20000665,Invergowrie,S19000949,Perth & Kinross,S12000024,
Dundonald,S20000666,Dundonald,S19000835,South Ayrshire,S12000028,
"Dunfermline, Settlement of",S20000667,Crossgates,S19000793,Fife,S12000015,
"Dunfermline, Settlement of",S20000667,Dunfermline,S19000836,Fife,S12000015,
"Dunfermline, Settlement of",S20000667,Inverkeithing,S19000950,Fife,S12000015,
"Dunfermline, Settlement of",S20000667,Rosyth,S19001161,Fife,S12000015,
Dunkeld and Birnam,S20000668,Dunkeld and Birnam,S19000838,Perth & Kinross,S12000024,
Dunlop,S20000669,Dunlop,S19000839,East Ayrshire,S12000008,
Dunning,S20000670,Dunning,S19000840,Perth & Kinross,S12000024,
"Dunoon, Settlement of",S20000671,Dunoon,S19000841,Argyll & Bute,S12000035,
"Dunoon, Settlement of",S20000671,Sandbank,S19001170,Argyll & Bute,S12000035,
Duns,S20000672,Duns,S19000842,Scottish Borders,S12000026,
Eaglesfield,S20000673,Eaglesfield,S19000845,Dumfries & Galloway,S12000006,
Eaglesham,S20000674,Eaglesham,S19000846,East Renfrewshire,S12000011,
Earlston,S20000675,Earlston,S19000847,Scottish Borders,S12000026,
East Calder,S20000676,East Calder,S19000848,West Lothian,S12000040,
East Kilbride,S20000677,East Kilbride,S19000849,South Lanarkshire,S12000029,
East Linton,S20000678,East Linton,S19000850,East Lothian,S12000010,
East Wemyss,S20000679,East Wemyss,S19000851,Fife,S12000015,
Eastriggs,S20000680,Eastriggs,S19000853,Dumfries & Galloway,S12000006,
Ecclefechan,S20000681,Ecclefechan,S19000854,Dumfries & Galloway,S12000006,
"Edinburgh, Settlement of (part)",S20000682,Musselburgh,S19001081,East Lothian,S12000010,
"Edinburgh, Settlement of (part)",S20000682,Edinburgh,S19000855,"Edinburgh, City of",S12000036,
Edzell,S20000683,Edzell,S19000856,Angus,S12000041,
Elgin,S20000684,Elgin,S19000858,Moray,S12000020,
Elie and Earlsferry,S20000685,Elie and Earlsferry,S19000859,Fife,S12000015,
Ellon,S20000686,Ellon,S19000860,Aberdeenshire,S12000034,
Elphinstone,S20000687,Elphinstone,S19000861,East Lothian,S12000010,
Errol,S20000688,Errol,S19000862,Perth & Kinross,S12000024,
"Erskine, Settlement of",S20000689,Erskine,S19000863,Renfrewshire,S12000038,
"Erskine, Settlement of",S20000689,Inchinnan,S19000940,Renfrewshire,S12000038,
Evanton,S20000690,Evanton,S19000864,Highland,S12000017,
Eyemouth,S20000691,Eyemouth,S19000865,Scottish Borders,S12000026,
Fairlie,S20000692,Fairlie,S19000867,North Ayrshire,S12000021,
"Falkirk, Settlement of",S20000693,Brightons,S19000722,Falkirk,S12000014,
"Falkirk, Settlement of",S20000693,Carron,S19000753,Falkirk,S12000014,
"Falkirk, Settlement of",S20000693,Carronshore,S19000754,Falkirk,S12000014,
"Falkirk, Settlement of",S20000693,Falkirk,S19000868,Falkirk,S12000014,
"Falkirk, Settlement of",S20000693,Grangemouth,S19000912,Falkirk,S12000014,
"Falkirk, Settlement of",S20000693,Larbert,S19001004,Falkirk,S12000014,
"Falkirk, Settlement of",S20000693,Laurieston,S19001009,Falkirk,S12000014,
"Falkirk, Settlement of",S20000693,Maddiston,S19001044,Falkirk,S12000014,
"Falkirk, Settlement of",S20000693,Polmont,S19001132,Falkirk,S12000014,
"Falkirk, Settlement of",S20000693,Redding,S19001150,Falkirk,S12000014,
"Falkirk, Settlement of",S20000693,Reddingmuirhead,S19001151,Falkirk,S12000014,
"Falkirk, Settlement of",S20000693,Rumford,S19001165,Falkirk,S12000014,
"Falkirk, Settlement of",S20000693,Stenhousemuir,S19001196,Falkirk,S12000014,
"Falkirk, Settlement of",S20000693,Wallacestone,S19001249,Falkirk,S12000014,
"Falkirk, Settlement of",S20000693,Westquarter,S19001260,Falkirk,S12000014,
Falkland,S20000694,Falkland,S19000869,Fife,S12000015,
Fallin,S20000695,Fallin,S19000870,Stirling,S12000030,
Fauldhouse,S20000696,Fauldhouse,S19000871,West Lothian,S12000040,
Fenwick,S20000697,Fenwick,S19000872,East Ayrshire,S12000008,
Findhorn,S20000698,Findhorn,S19000874,Moray,S12000020,
Findochty,S20000699,Findochty,S19000875,Moray,S12000020,
Fochabers,S20000700,Fochabers,S19000876,Moray,S12000020,
Forfar,S20000701,Forfar,S19000877,Angus,S12000041,
Forgandenny,S20000702,Forgandenny,S19000878,Perth & Kinross,S12000024,
Forres,S20000703,Forres,S19000879,Moray,S12000020,
Fort Augustus,S20000704,Fort Augustus,S19000880,Highland,S12000017,
"Fort William, Settlement of",S20000705,Banavie and Corpach,S19000680,Highland,S12000017,
"Fort William, Settlement of",S20000705,Caol,S19000742,Highland,S12000017,
"Fort William, Settlement of",S20000705,Fort William,S19000881,Highland,S12000017,
Forth,S20000706,Forth,S19000882,South Lanarkshire,S12000029,
Fortrose,S20000707,Fortrose,S19000883,Highland,S12000017,
Fraserburgh,S20000708,Fraserburgh,S19000884,Aberdeenshire,S12000034,
Freuchie,S20000709,Freuchie,S19000885,Fife,S12000015,
Friockheim,S20000710,Friockheim,S19000886,Angus,S12000041,
"Galashiels, Settlement of",S20000711,Galashiels,S19000887,Scottish Borders,S12000026,
"Galashiels, Settlement of",S20000711,Tweedbank,S19001243,Scottish Borders,S12000026,
Galston,S20000712,Galston,S19000888,East Ayrshire,S12000008,
Gardenstown,S20000713,Gardenstown,S19000889,Aberdeenshire,S12000034,
Garelochhead,S20000714,Garelochhead,S19000890,Argyll & Bute,S12000035,
Gargunnock,S20000715,Gargunnock,S19000891,Stirling,S12000030,
Garmouth,S20000716,Garmouth,S19000892,Moray,S12000020,
Gartcosh,S20000717,Gartcosh,S19000893,North Lanarkshire,S12000044,
Gatehouse of Fleet,S20000718,Gatehouse of Fleet,S19000894,Dumfries & Galloway,S12000006,
Gauldry,S20000719,Gauldry,S19000895,Fife,S12000015,
Gifford,S20000720,Gifford,S19000897,East Lothian,S12000010,
Girvan,S20000721,Girvan,S19000898,South Ayrshire,S12000028,
Glassford,S20000722,Glassford,S19000900,South Lanarkshire,S12000029,
Glenboig,S20000723,Glenboig,S19000901,North Lanarkshire,S12000044,
Glenfarg,S20000724,Glenfarg,S19000902,Perth & Kinross,S12000024,
Glenluce,S20000725,Glenluce,S19000903,Dumfries & Galloway,S12000006,
Glenmavis,S20000726,Glenmavis,S19000904,North Lanarkshire,S12000044,
"Glenrothes, Settlement of",S20000727,Coaltown of Balgonie,S19000771,Fife,S12000015,
"Glenrothes, Settlement of",S20000727,Glenrothes,S19000906,Fife,S12000015,
"Glenrothes, Settlement of",S20000727,Leslie,S19001014,Fife,S12000015,
"Glenrothes, Settlement of",S20000727,Markinch,S19001046,Fife,S12000015,
"Glenrothes, Settlement of",S20000727,Thornton,S19001227,Fife,S12000015,
Golspie,S20000728,Golspie,S19000907,Highland,S12000017,
Gorebridge,S20000729,Gorebridge,S19000908,Midlothian,S12000019,
Gourdon,S20000730,Gourdon,S19000909,Aberdeenshire,S12000034,
Grantown-on-Spey,S20000731,Grantown-on-Spey,S19000913,Highland,S12000017,
Greater Glasgow (part),S20000732,Bearsden,S19000689,East Dunbartonshire,S12000045,
Greater Glasgow (part),S20000732,Bishopbriggs,S19000697,East Dunbartonshire,S12000045,
Greater Glasgow (part),S20000732,Faifley (part),S19000866,East Dunbartonshire,S12000045,
Greater Glasgow (part),S20000732,Glasgow (part),S19000899,East Dunbartonshire,S12000045,
Greater Glasgow (part),S20000732,Milngavie,S19001061,East Dunbartonshire,S12000045,
Greater Glasgow (part),S20000732,Barrhead (part),S19000687,East Renfrewshire,S12000011,
Greater Glasgow (part),S20000732,Busby,S19000734,East Renfrewshire,S12000011,
Greater Glasgow (part),S20000732,Clarkston,S19000766,East Renfrewshire,S12000011,
Greater Glasgow (part),S20000732,Giffnock,S19000896,East Renfrewshire,S12000011,
Greater Glasgow (part),S20000732,Netherlee (part),S19001086,East Renfrewshire,S12000011,
Greater Glasgow (part),S20000732,Newton Mearns,S19001101,East Renfrewshire,S12000011,
Greater Glasgow (part),S20000732,Stamperland,S19001194,East Renfrewshire,S12000011,
Greater Glasgow (part),S20000732,Thornliebank,S19001226,East Renfrewshire,S12000011,
Greater Glasgow (part),S20000732,Barrhead (part),S19000687,Glasgow City,S12000046,
Greater Glasgow (part),S20000732,Glasgow (part),S19000899,Glasgow City,S12000046,
Greater Glasgow (part),S20000732,Netherlee (part),S19001086,Glasgow City,S12000046,
Greater Glasgow (part),S20000732,Stepps (part),S19001198,Glasgow City,S12000046,
Greater Glasgow (part),S20000732,Stepps (part),S19001198,North Lanarkshire,S12000044,
Greater Glasgow (part),S20000732,Elderslie,S19000857,Renfrewshire,S12000038,
Greater Glasgow (part),S20000732,Glasgow (part),S19000899,Renfrewshire,S12000038,
Greater Glasgow (part),S20000732,Johnstone,S19000957,Renfrewshire,S12000038,
Greater Glasgow (part),S20000732,Kilbarchan,S19000963,Renfrewshire,S12000038,
Greater Glasgow (part),S20000732,Linwood,S19001023,Renfrewshire,S12000038,
Greater Glasgow (part),S20000732,Paisley,S19001117,Renfrewshire,S12000038,
Greater Glasgow (part),S20000732,Renfrew,S19001152,Renfrewshire,S12000038,
Greater Glasgow (part),S20000732,Cambuslang,S19000740,South Lanarkshire,S12000029,
Greater Glasgow (part),S20000732,Glasgow (part),S19000899,South Lanarkshire,S12000029,
Greater Glasgow (part),S20000732,Rutherglen,S19001166,South Lanarkshire,S12000029,
Greater Glasgow (part),S20000732,Bowling,S19000712,West Dunbartonshire,S12000039,
Greater Glasgow (part),S20000732,Clydebank,S19000768,West Dunbartonshire,S12000039,
Greater Glasgow (part),S20000732,Duntocher and Hardgate,S19000843,West Dunbartonshire,S12000039,
Greater Glasgow (part),S20000732,Faifley (part),S19000866,West Dunbartonshire,S12000039,
Greater Glasgow (part),S20000732,Old Kilpatrick,S19001113,West Dunbartonshire,S12000039,
Greenlaw,S20000733,Greenlaw,S19000915,Scottish Borders,S12000026,
"Greenock, Settlement of",S20000734,Gourock,S19000910,Inverclyde,S12000018,
"Greenock, Settlement of",S20000734,Greenock,S19000916,Inverclyde,S12000018,
"Greenock, Settlement of",S20000734,Port Glasgow,S19001135,Inverclyde,S12000018,
Gretna,S20000735,Gretna,S19000917,Dumfries & Galloway,S12000006,
Gullane,S20000736,Gullane,S19000919,East Lothian,S12000010,
Haddington,S20000737,Haddington,S19000920,East Lothian,S12000010,
Halkirk,S20000738,Halkirk,S19000922,Highland,S12000017,
Hallglen,S20000739,Hallglen,S19000923,Falkirk,S12000014,
"Hamilton, Settlement of",S20000740,Blantyre,S19000705,South Lanarkshire,S12000029,
"Hamilton, Settlement of",S20000740,Bothwell,S19000711,South Lanarkshire,S12000029,
"Hamilton, Settlement of",S20000740,Hamilton,S19000924,South Lanarkshire,S12000029,
"Hamilton, Settlement of",S20000740,Uddingston,S19001244,South Lanarkshire,S12000029,
Harthill (part),S20000741,Harthill (Part),S19000925,North Lanarkshire,S12000044,
Harthill (part),S20000741,Harthill (Part),S19000925,West Lothian,S12000040,
Hatton of Cruden,S20000742,Hatton of Cruden,S19000926,Aberdeenshire,S12000034,
Hawick,S20000743,Hawick,S19000927,Scottish Borders,S12000026,
"Helensburgh, Settlement of",S20000744,Helensburgh,S19000929,Argyll & Bute,S12000035,
"Helensburgh, Settlement of",S20000744,Rhu,S19001154,Argyll & Bute,S12000035,
"High Valleyfield, Settlement of",S20000745,High Valleyfield,S19000931,Fife,S12000015,
"High Valleyfield, Settlement of",S20000745,Torryburn and Newmills,S19001236,Fife,S12000015,
Hillhead,S20000746,Hillhead,S19000932,South Ayrshire,S12000028,
Hillside,S20000747,Hillside,S19000933,Angus,S12000041,
Hopeman,S20000748,Hopeman,S19000935,Moray,S12000020,
Houston,S20000749,Houston,S19000936,Renfrewshire,S12000038,
Howwood,S20000750,Howwood,S19000937,Renfrewshire,S12000038,
Huntly,S20000751,Huntly,S19000938,Aberdeenshire,S12000034,
Inchture,S20000752,Inchture,S19000941,Perth & Kinross,S12000024,
Innellan,S20000753,Innellan,S19000942,Argyll & Bute,S12000035,
Innerleithen,S20000754,Innerleithen,S19000943,Scottish Borders,S12000026,
Insch,S20000755,Insch,S19000944,Aberdeenshire,S12000034,
Inverallochy and Cairnbulg,S20000756,Inverallochy and Cairnbulg,S19000945,Aberdeenshire,S12000034,
Inveraray,S20000757,Inveraray,S19000946,Argyll & Bute,S12000035,
Inverbervie,S20000758,Inverbervie,S19000947,Aberdeenshire,S12000034,
